country	Population (2020)	Density (P/Km²)	Land Area (Km²)	Migrants (net)	Med. Age	Urban Pop %
Puerto Rico	2860853	323	8870	-97986	44	N.A.
Lithuania	2722289	43	62674	-32780	45	71
Namibia	2540905	3	823290	-4806	22	55
Gambia	2416668	239	10120	-3087	18	59
Botswana	2351627	4	566730	3000	24	73
Gabon	2225734	9	257670	3260	23	87
Lesotho	2142249	71	30360	-10047	24	31
North Macedonia	2083374	83	25220	-1000	39	59
Slovenia	2078938	103	20140	2000	45	55
Guinea-Bissau	1968001	70	28120	-1399	19	45
Latvia	1886198	30	62200	-14837	44	69
Bahrain	1701575	2239	760	47800	32	89
Equatorial Guinea	1402985	50	28050	16000	22	73
Trinidad and Tobago	1399488	273	5130	-800	36	52
Estonia	1326535	31	42390	3911	42	68
East Timor	1318445	89	14870	-5385	21	33
Mauritius	1271768	626	2030	0	37	41
Cyprus	1207359	131	9240	5000	37	67
Eswatini	1160164	67	17200	-8353	21	30
Djibouti	988000	43	23180	900	27	79
Fiji	896445	49	18270	-6202	28	59
Réunion	895312	358	2500	-1256	36	100
Comoros	869601	467	1861	-2000	20	29
Guyana	786552	4	196850	-6000	27	27
Bhutan	771608	20	38117	320	28	46
Solomon Islands	686884	25	27990	-1600	20	23
Macao	649335	21645	30	5000	39	N.A.
Montenegro	628066	47	13450	-480	39	68
Luxembourg	625978	242	2590	9741	40	88
Western Sahara	597339	2	266000	5582	28	87
Suriname	586632	4	156000	-1000	29	65
Cape Verde	555987	138	4030	-1342	28	68
Maldives	540544	1802	300	11370	30	35
Malta	441543	1380	320	900	43	93
Brunei	437479	83	5270	0	32	80
Guadeloupe	400124	237	1690	-1440	44	N.A.
Belize	397628	17	22810	1200	25	46
Bahamas	393244	39	10010	1000	32	86
Martinique	375265	354	1060	-960	47	92
Iceland	341243	3	100250	380	37	94
Vanuatu	307145	25	12190	120	21	24
French Guiana	298682	4	82200	1200	25	87
Barbados	287375	668	430	-79	40	31
New Caledonia	285498	16	18280	502	34	72
French Polynesia	280908	77	3660	-1000	34	64
Mayotte	272815	728	375	0	20	46
Sao Tome & Principe	219159	228	960	-1680	19	74
Samoa	198414	70	2830	-2803	22	18
Saint Lucia	183627	301	610	0	34	19
Channel Islands	173863	915	190	1351	43	30
Guam	168775	313	540	-506	31	95
Curaçao	164093	370	444	515	42	89
Kiribati	119449	147	810	-800	23	57
Micronesia	115023	164	700	-600	24	21
Grenada	112523	331	340	-200	32	35
Saint Vincent and the Grenadines	110940	284	390	-200	33	53
Aruba	106766	593	180	201	41	44
Tonga	105695	147	720	-800	22	24
